#ies_format_version: 1.0
#file: 20251209_11000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 7
#timestep_sec: 11.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	str1_cell1_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell1)
#005;	str1_cell1_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell1)
#006;	str1_cell1_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell1)
#007;	str1_cell2_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell2)
#008;	str1_cell2_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell2)
#009;	str1_cell2_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell2)
YYYYMMDD;	hhmmss;	unixtimestamp;	str1_cell1_R;	str1_cell1_V;	str1_cell1_T;	str1_cell2_R;	str1_cell2_V;	str1_cell2_T
20251209;	092450;	1765247090.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092501;	1765247101.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092512;	1765247112.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092523;	1765247123.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092534;	1765247134.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092545;	1765247145.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092556;	1765247156.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092607;	1765247167.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092618;	1765247178.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092629;	1765247189.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092640;	1765247200.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092651;	1765247211.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092702;	1765247222.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092713;	1765247233.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092724;	1765247244.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092735;	1765247255.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092746;	1765247266.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092757;	1765247277.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092808;	1765247288.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092819;	1765247299.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092830;	1765247310.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092841;	1765247321.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092852;	1765247332.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092903;	1765247343.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092914;	1765247354.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092925;	1765247365.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092936;	1765247376.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092947;	1765247387.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	092958;	1765247398.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093009;	1765247409.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093020;	1765247420.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093031;	1765247431.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093042;	1765247442.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093053;	1765247453.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093104;	1765247464.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093115;	1765247475.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093126;	1765247486.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093137;	1765247497.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093148;	1765247508.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093159;	1765247519.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093210;	1765247530.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093221;	1765247541.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093232;	1765247552.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093243;	1765247563.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093254;	1765247574.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093305;	1765247585.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093316;	1765247596.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093327;	1765247607.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093338;	1765247618.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093349;	1765247629.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093400;	1765247640.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093411;	1765247651.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093422;	1765247662.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093433;	1765247673.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093444;	1765247684.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093455;	1765247695.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093506;	1765247706.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093517;	1765247717.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093528;	1765247728.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093539;	1765247739.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093550;	1765247750.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093601;	1765247761.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093612;	1765247772.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093623;	1765247783.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
